,id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,misc_val,mo_sold,yr_sold,sale_type,saleprice
10,1044,160,RM,21.0,1680,Pave,4,Lvl,4.0,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3.0,3.0,1.0,5.0,387.0,1.0,0.0,96.0,483.0,GasA,3,Y,5.0,483,504,0,987,0.0,0.0,1,1,2,1,3,4,8,0,0.0,Detchd,1971.0,1.0,1.0,264.0,3.0,3.0,2,0,0,0,0,0,0,7,2008,COD,85400
11,2752,20,RL,64.0,7488,Pave,3,Lvl,4.0,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,393.0,1.0,0.0,815.0,1208.0,GasA,5,Y,5.0,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,8,0,0.0,Attchd,2005.0,2.0,2.0,632.0,3.0,3.0,2,105,58,0,0,0,0,2,2006,WD ,183600
12,807,70,RL,120.0,26400,Pave,4,Bnk,4.0,FR2,3,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,Y,5.0,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,5,1,3.0,Attchd,1900.0,1.0,2.0,576.0,3.0,3.0,1,0,0,0,0,0,0,6,2009,WD ,131000
13,1177,160,FV,24.0,2645,Pave,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,1.0,6.0,813.0,1.0,0.0,147.0,960.0,GasA,5,Y,5.0,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,8,0,0.0,Detchd,2000.0,1.0,2.0,480.0,3.0,3.0,2,169,0,0,0,0,0,12,2008,ConLD,200000
14,1480,20,RL,74.0,9627,Pave,4,Lvl,4.0,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,24.0,1.0,0.0,1327.0,1351.0,GasA,5,Y,5.0,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,8,0,0.0,Attchd,2007.0,2.0,2.0,610.0,3.0,3.0,2,0,50,0,0,0,0,6,2008,WD ,193000
15,324,20,RL,93.0,10114,Pave,4,Lvl,4.0,Inside,3,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1430.0,1430.0,GasA,5,Y,5.0,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,8,0,0.0,Attchd,2004.0,2.0,2.0,624.0,3.0,3.0,2,0,0,0,0,0,0,3,2010,WD ,173500
16,1311,70,RM,34.0,4571,Pave,4,Lvl,4.0,Inside,3,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,624.0,624.0,GasA,2,N,5.0,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,8,0,0.0,Detchd,1916.0,1.0,3.0,513.0,2.0,2.0,2,0,0,96,0,0,0,5,2008,COD,98000
17,770,20,RL,80.0,8816,Pave,4,Lvl,4.0,Corner,3,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1.0,3.0,651.0,1.0,0.0,470.0,1121.0,GasA,3,Y,5.0,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,8,0,0.0,Detchd,1963.0,1.0,2.0,480.0,3.0,3.0,2,0,80,0,0,0,0,6,2009,WD ,139000
18,2063,20,RL,71.0,8197,Pave,4,Lvl,4.0,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,GasA,5,Y,5.0,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,8,1,3.0,Attchd,1977.0,2.0,2.0,528.0,3.0,3.0,2,138,0,0,0,0,0,4,2007,WD ,143500
19,69,60,FV,72.0,8640,Pave,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,2.0,6.0,24.0,1.0,0.0,732.0,756.0,GasA,5,Y,5.0,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,8,0,0.0,Attchd,2009.0,1.0,2.0,614.0,3.0,3.0,2,169,45,0,0,0,0,6,2010,Con,215200
20,2062,20,RL,109.0,8724,Pave,4,Lvl,4.0,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,1.0,4.0,492.0,1.0,0.0,402.0,894.0,GasA,4,Y,5.0,894,0,0,894,0.0,0.0,1,0,3,1,3,5,8,1,1.0,Attchd,1968.0,3.0,2.0,450.0,3.0,3.0,2,0,0,0,0,0,0,5,2007,WD ,129000
21,351,120,RL,40.0,5664,Pave,3,Lvl,4.0,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,1158.0,1.0,0.0,343.0,1501.0,GasA,5,Y,5.0,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,8,1,5.0,Attchd,2000.0,3.0,2.0,499.0,3.0,3.0,2,212,59,0,0,0,0,10,2009,WD ,278000
22,2393,60,RL,103.0,12867,Pave,3,Lvl,4.0,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,0,0.0,4,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1209.0,1209.0,GasA,5,Y,5.0,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,8,1,4.0,Attchd,2005.0,3.0,2.0,575.0,3.0,3.0,2,243,142,0,0,0,0,7,2006,New,344133
23,12,20,RL,0.0,7980,Pave,3,Lvl,4.0,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4.0,3.0,1.0,5.0,935.0,1.0,0.0,233.0,1168.0,GasA,5,Y,5.0,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,8,0,0.0,Attchd,1992.0,3.0,2.0,420.0,3.0,3.0,2,483,21,0,0,0,500,3,2010,WD ,185000
24,2339,190,RL,100.0,34650,Pave,4,Bnk,4.0,Inside,3,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,3.0,1056.0,1.0,0.0,0.0,1056.0,GasA,3,N,5.0,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,8,0,0.0,Attchd,1955.0,3.0,2.0,572.0,3.0,3.0,2,264,0,0,0,0,0,1,2006,WD ,145000
25,624,20,RL,92.0,10573,Pave,3,Lvl,4.0,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3.0,3.0,1.0,3.0,1312.0,1.0,0.0,141.0,1453.0,GasA,5,Y,5.0,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,8,1,3.0,Attchd,1961.0,2.0,2.0,530.0,3.0,3.0,2,0,49,0,0,288,0,4,2009,WD ,187500
26,86,20,RL,65.0,8450,Pave,4,Lvl,4.0,Inside,3,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,553.0,4.0,117.0,224.0,894.0,GasA,5,Y,5.0,894,0,0,894,1.0,0.0,1,0,3,1,3,5,8,1,4.0,Detchd,1973.0,1.0,1.0,336.0,3.0,3.0,2,416,144,0,0,0,0,4,2010,WD ,138500
27,1534,50,RL,0.0,11700,Pave,3,HLS,4.0,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,1.0,4.0,606.0,1.0,0.0,336.0,942.0,GasA,5,Y,5.0,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,6,1,4.0,Detchd,1937.0,1.0,1.0,240.0,3.0,3.0,2,0,40,0,0,0,0,7,2008,WD ,198000
28,2243,190,C (all),75.0,8250,Pave,4,Lvl,4.0,Inside,3,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,957.0,957.0,GasA,2,N,5.0,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,133,0,0,0,6,2007,WD ,119600
29,1957,50,RL,60.0,8064,Pave,4,Lvl,4.0,Corner,3,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,2.0,1.0,0.0,1.0,0.0,672.0,672.0,GasA,5,Y,5.0,672,252,0,924,0.0,0.0,1,0,3,1,3,6,8,1,1.0,Detchd,2003.0,1.0,2.0,576.0,3.0,3.0,2,0,0,0,0,0,2000,7,2007,WD ,122900
30,380,20,RL,80.0,9600,Pave,4,Lvl,4.0,Inside,3,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4.0,3.0,1.0,5.0,1104.0,1.0,0.0,1420.0,2524.0,GasA,3,Y,5.0,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,8,1,4.0,Attchd,1981.0,3.0,2.0,542.0,3.0,3.0,2,474,120,0,0,0,0,7,2009,WD ,278000
31,2860,70,RL,0.0,11435,Pave,3,HLS,4.0,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,792.0,792.0,GasA,2,Y,5.0,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,8,2,4.0,Detchd,1931.0,1.0,2.0,400.0,3.0,3.0,2,0,0,0,0,0,0,6,2006,WD ,230000
32,2517,120,RL,30.0,9549,Pave,3,Lvl,4.0,CulDSac,3,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4.0,4.0,3.0,2.0,437.0,6.0,1057.0,0.0,1494.0,GasA,5,Y,5.0,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,8,1,4.0,Attchd,1995.0,3.0,2.0,481.0,3.0,3.0,2,0,30,0,0,216,0,4,2006,WD ,270000
33,1933,20,RL,60.0,10950,Pave,4,Lvl,4.0,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,441.0,1.0,0.0,507.0,948.0,GasA,3,Y,5.0,948,0,0,948,0.0,0.0,1,0,2,1,3,5,8,0,0.0,Detchd,1952.0,1.0,2.0,410.0,3.0,3.0,0,0,48,0,0,0,0,4,2007,WD ,125000
34,820,20,RL,79.0,10637,Pave,4,Lvl,4.0,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5.0,3.0,4.0,6.0,1288.0,1.0,0.0,417.0,1705.0,GasA,5,Y,5.0,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,8,1,4.0,Attchd,2007.0,2.0,3.0,826.0,3.0,3.0,2,208,44,0,0,0,0,9,2009,WD ,297000
35,675,20,RL,80.0,9000,Pave,3,HLS,4.0,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4.0,3.0,4.0,1.0,0.0,1.0,0.0,160.0,160.0,GasA,2,Y,5.0,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,8,1,4.0,Basment,1958.0,2.0,1.0,384.0,3.0,3.0,2,0,28,64,0,0,0,4,2009,WD ,113500
36,2910,160,RM,41.0,2665,Pave,4,Lvl,4.0,Inside,3,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3.0,3.0,1.0,5.0,548.0,3.0,173.0,36.0,757.0,GasA,5,Y,5.0,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,8,1,3.0,Attchd,1977.0,2.0,1.0,336.0,3.0,3.0,2,104,26,0,0,0,0,7,2006,WD ,127000
37,21,20,RL,105.0,11751,Pave,3,Lvl,4.0,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4.0,3.0,1.0,4.0,705.0,1.0,0.0,1139.0,1844.0,GasA,5,Y,5.0,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,8,1,3.0,Attchd,1977.0,2.0,2.0,546.0,3.0,3.0,2,0,122,0,0,0,0,1,2010,COD,190000
38,1873,20,RL,80.0,9600,Pave,4,Lvl,4.0,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3.0,3.0,1.0,5.0,916.0,1.0,0.0,326.0,1242.0,GasA,2,Y,5.0,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,8,1,3.0,Attchd,1973.0,1.0,2.0,528.0,3.0,3.0,2,0,0,0,0,0,0,9,2007,WD ,175500
39,2125,20,RL,60.0,8428,Pave,2,Lvl,4.0,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4.0,4.0,1.0,6.0,420.0,1.0,0.0,570.0,990.0,GasA,5,Y,5.0,990,0,0,990,1.0,0.0,1,0,3,1,3,5,8,0,0.0,Detchd,1995.0,1.0,1.0,384.0,3.0,3.0,2,256,0,0,0,0,0,7,2007,WD ,146000
40,1489,20,RL,75.0,9937,Pave,4,Lvl,4.0,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3.0,3.0,1.0,4.0,830.0,2.0,290.0,136.0,1256.0,GasA,4,Y,5.0,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,8,0,0.0,Attchd,1965.0,3.0,1.0,276.0,3.0,3.0,2,736,68,0,0,0,0,6,2008,WD ,147500
41,2383,20,RL,107.0,13891,Pave,4,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0,0.0,5,3,PConc,5.0,4.0,4.0,6.0,1386.0,1.0,0.0,690.0,2076.0,GasA,5,Y,5.0,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,8,1,4.0,Attchd,2006.0,3.0,3.0,850.0,3.0,3.0,2,216,229,0,0,0,0,9,2006,New,465000
42,983,85,RL,0.0,9101,Pave,3,Lvl,4.0,Corner,3,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4.0,3.0,3.0,6.0,1097.0,1.0,0.0,0.0,1097.0,GasA,5,Y,5.0,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,8,1,3.0,Attchd,1978.0,3.0,2.0,602.0,3.0,3.0,2,303,30,0,0,0,0,7,2009,WD ,165500
43,1325,50,RM,81.0,12150,Pave,4,Lvl,4.0,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1050.0,1050.0,GasA,5,N,3.0,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,8,0,0.0,Attchd,1954.0,1.0,1.0,352.0,2.0,3.0,2,0,0,0,0,0,0,11,2008,WD ,131500
44,1378,20,RL,70.0,11200,Pave,4,Lvl,4.0,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,906.0,1.0,0.0,134.0,1040.0,GasA,5,Y,5.0,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,8,0,0.0,Detchd,1965.0,1.0,1.0,384.0,3.0,3.0,2,0,0,0,0,0,0,2,2008,WD ,129500
45,1537,70,RL,100.0,9670,Pave,3,HLS,4.0,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3.0,2.0,1.0,2.0,210.0,1.0,0.0,398.0,608.0,GasA,3,Y,5.0,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,8,2,4.0,Detchd,1935.0,3.0,2.0,786.0,2.0,3.0,2,0,0,207,0,0,0,6,2008,WD ,257076
46,905,50,RL,60.0,10998,Pave,4,Lvl,4.0,Inside,3,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,408.0,4.0,420.0,156.0,984.0,GasA,5,Y,5.0,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,6,0,0.0,Detchd,1977.0,1.0,2.0,660.0,3.0,3.0,2,0,68,0,0,0,0,7,2009,WD ,117000
47,1532,70,RL,60.0,7200,Pave,4,HLS,4.0,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4.0,3.0,1.0,1.0,0.0,1.0,0.0,776.0,776.0,GasA,3,Y,5.0,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,8,1,4.0,Attchd,1931.0,2.0,1.0,270.0,3.0,3.0,1,0,0,112,0,0,0,2,2008,WD ,149000
48,132,20,RL,80.0,9920,Pave,4,Lvl,4.0,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3.0,3.0,1.0,3.0,354.0,2.0,290.0,412.0,1056.0,GasA,3,Y,5.0,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,8,0,0.0,Attchd,1954.0,2.0,1.0,280.0,3.0,3.0,2,0,0,164,0,0,0,2,2010,WD ,128000
49,1078,160,RL,36.0,2448,Pave,4,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,764.0,764.0,GasA,5,Y,5.0,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,8,0,0.0,BuiltIn,2003.0,2.0,2.0,474.0,3.0,3.0,2,0,27,0,0,0,0,10,2008,WD ,155000
50,2511,160,FV,0.0,2998,Pave,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4.0,3.0,1.0,6.0,353.0,1.0,0.0,403.0,756.0,GasA,5,Y,5.0,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,8,0,0.0,Detchd,2000.0,1.0,2.0,440.0,3.0,3.0,2,0,32,0,0,0,0,6,2006,WD ,166000
